"Stationame","Country","Station","First_Year","Last_Year","Years","Months","Full_Lenght","Missing_M"
"alpene, geneve_ecad","alpene","geneve_ecad",1901,2009,109,1303,1314,11
"alpene, graz","alpene","graz",1894,2009,116,1387,1398,11
"alpene, hohenpeissenberg","alpene","hohenpeissenberg",1781,2009,229,2741,2754,13
"alpene, innsbruck","alpene","innsbruck",1877,2009,133,1490,1597,107
"alpene, klagenfurt","alpene","klagenfurt",1881,2009,129,1513,1554,41
"alpene, kremsmunster","alpene","kremsmunster",1876,2009,134,1602,1614,12
"alpene, lugano_ecad","alpene","lugano_ecad",1901,2009,109,1303,1314,11
"alpene, munchen","alpene","munchen",1781,2009,229,2742,2754,12
"alpene, saentis_ecad","alpene","saentis_ecad",1901,2009,109,1296,1314,18
"alpene, saentis","alpene","saentis",1883,2009,127,1516,1530,14
"alpene, sonnblick","alpene","sonnblick",1887,2009,123,1468,1482,14
"alpene, wien","alpene","wien",1855,2009,155,1827,1865,38
"argentina, buenos_aires","argentina","buenos_aires",1856,2006,151,1781,1817,36
"argentina, trelew","argentina","trelew",1901,2010,110,1268,1320,52
"arktis, angmassalik","arktis","angmassalik",1895,2009,115,1349,1380,31
"arktis, barrow","arktis","barrow",1901,2009,109,1131,1306,175
"arktis, illulisat","arktis","illulisat",1873,2009,137,1634,1650,16
"arktis, kotzebue","arktis","kotzebue",1897,2009,113,1005,1353,348
"arktis, nook_nasa","arktis","nook_nasa",1881,2009,129,1490,1548,58
"arktis, tasiilaq","arktis","tasiilaq",1895,2009,115,1361,1386,25
"arktis, upernavik","arktis","upernavik",1873,2009,137,1638,1650,12
"aserbajdsjan, lenkoran","aserbajdsjan","lenkoran",1882,1990,109,1241,1311,70
"atlanterhavet, base_orcadas","atlanterhavet","base_orcadas",1903,2009,107,1271,1288,17
"atlanterhavet, nassau","atlanterhavet","nassau",1881,2009,129,1439,1555,116
"atlanterhavet, sable_island","atlanterhavet","sable_island",1897,2009,113,1329,1354,25
"atlanterhavet, st_helena","atlanterhavet","st_helena",1892,2009,118,1331,1422,91
"atlanterhavet, st_johns","atlanterhavet","st_johns",1897,2009,113,1268,1352,84
"atlanterhavet, torshavn","atlanterhavet","torshavn",1890,2009,120,1436,1447,11
"australia, adelaide","australia","adelaide",1881,2012,132,1567,1594,27
"australia, alice_springs","australia","alice_springs",1881,2012,132,1564,1594,30
"australia, brisbane","australia","brisbane",1887,2012,126,1488,1522,34
"australia, cap_leuwin","australia","cap_leuwin",1897,2012,116,1382,1402,20
"australia, cap_otway","australia","cap_otway",1865,2012,148,1744,1787,43
"australia, darwin","australia","darwin",1882,2012,131,1541,1582,41
"australia, echucao","australia","echucao",1881,2012,132,1565,1590,25
"australia, hobarth","australia","hobarth",1841,2012,172,1755,2075,320
"australia, melbourne","australia","melbourne",1855,2012,158,1796,1903,107
"australia, perth","australia","perth",1885,2012,128,1307,1546,239
"australia, wilsons_obs","australia","wilsons_obs",1881,2012,132,1541,1595,54
"bahrein, bahrein","bahrein","bahrein",1902,2009,108,1109,1302,193
"belgia, uccle2","belgia","uccle2",1881,2010,130,1549,1565,16
"belgia, uccle","belgia","uccle",1833,2008,176,2108,2119,11
"brasil, cuiaba","brasil","cuiaba",1901,2008,108,1246,1298,52
"brasil, quiexeramobin","brasil","quiexeramobin",1896,2009,114,1284,1376,92
"brasil, rio_de_janeiro","brasil","rio_de_janeiro",1883,1989,107,1281,1293,12
"brasil, sao_paulo","brasil","sao_paulo",1887,2009,123,1447,1484,37
"canada, calgary","canada","calgary",1884,2012,129,1544,1558,14
"canada, churchild","canada","churchild",1884,2012,129,1193,1549,356
"canada, fort_simpson","canada","fort_simpson",1895,2012,118,1301,1416,115
"canada, sable_island","canada","sable_island",1897,2012,116,1362,1393,31
"canada, salt_stmarie","canada","salt_stmarie",1888,2011,124,1478,1489,11
"canada, st_johns","canada","st_johns",1897,2011,115,1292,1376,84
"canada, winnipeg","canada","winnipeg",1881,2012,132,1575,1594,19
"chile, pudahuel","chile","pudahuel",1903,2011,109,1221,1304,83
"chile, punta_arenas","chile","punta_arenas",1888,2011,124,1465,1495,30
"china, quingdao","china","quingdao",1898,2012,115,1325,1387,62
"china, shenyang","china","shenyang",1905,2012,108,1233,1301,68
"danmark, bornholm","danmark","bornholm",1874,2012,139,1660,1671,11
"danmark, nordby","danmark","nordby",1875,2011,137,1636,1647,11
"danmark, tranebjerg","danmark","tranebjerg",1873,2012,140,1672,1683,11
"danmark, vestervig","danmark","vestervig",1875,2012,138,1648,1659,11
"egypt, alexandria","egypt","alexandria",1870,1990,121,1395,1461,66
"egypt, cairo","egypt","cairo",1869,1995,127,1091,1528,437
"estland, tallin_1","estland","tallin_1",1881,2010,130,1470,1569,99
"etiopia, addis_abeba","etiopia","addis_abeba",1898,2010,113,873,1357,484
"faroyene, torshavn","faroyene","torshavn",1890,2012,123,1475,1486,11
"filipinene, legaspi","filipinene","legaspi",1903,2010,108,1159,1307,148
"filipinene, manila","filipinene","manila",1887,1993,107,1200,1295,95
"finland, helsinki","finland","helsinki",1890,2012,123,1468,1486,18
"finland, jyveskyle","finland","jyveskyle",1890,2012,123,1467,1486,19
"finland, kuopio","finland","kuopio",1890,2012,123,1446,1486,40
"finland, lappeenranta","finland","lappeenranta",1890,2012,123,1463,1486,23
"finland, oulu","finland","oulu",1890,2011,122,1448,1464,16
"finland, tampere","finland","tampere",1890,2012,123,1464,1486,22
"frankrike, lyon","frankrike","lyon",1851,2009,159,1664,1913,249
"frankrike, marseille","frankrike","marseille",1881,2009,129,1508,1553,45
"frankrike, nantes","frankrike","nantes",1851,2009,159,1893,1913,20
"frankrike, paris","frankrike","paris",1757,2009,253,3030,3041,11
"frankrike, perpignan","frankrike","perpignan",1881,2009,129,1185,1553,368
"frankrike, strasbourg","frankrike","strasbourg",1801,2009,209,1848,2513,665
"frankrike, toulouse","frankrike","toulouse",1839,2009,171,1463,2057,594
"golfstrommen, andoya","golfstrommen","andoya",1868,2009,142,1699,1711,12
"golfstrommen, bodo6","golfstrommen","bodo6",1868,2009,142,1700,1711,11
"golfstrommen, nordoyan_fyr","golfstrommen","nordoyan_fyr",1891,2009,119,1332,1435,103
"golfstrommen, ona2","golfstrommen","ona2",1868,2009,142,1677,1711,34
"golfstrommen, torshavn","golfstrommen","torshavn",1890,2009,120,1434,1445,11
"golfstrommen, utsira_fyr","golfstrommen","utsira_fyr",1868,2009,142,1700,1711,11
"golfstrommen, valentia","golfstrommen","valentia",1881,2009,129,1532,1553,21
"golfstrommen, vestmannaoyene","golfstrommen","vestmannaoyene",1878,2009,132,1578,1589,11
"gronland, angmassalik","gronland","angmassalik",1895,2012,118,1375,1424,49
"gronland, illulisat","gronland","illulisat",1873,2012,140,1674,1690,16
"gronland, nook_nasa","gronland","nook_nasa",1881,2012,132,1492,1589,97
"gronland, tasiilaq","gronland","tasiilaq",1895,2012,118,1401,1426,25
"gronland, upernavik","gronland","upernavik",1873,2012,140,1678,1690,12
"hellas, athen_obs","hellas","athen_obs",1858,2009,152,1814,1828,14
"hviterussland, minsk","hviterussland","minsk",1891,2012,122,1428,1464,36
"india, agra","india","agra",1881,1987,107,1269,1290,21
"india, akola","india","akola",1881,2012,132,1560,1587,27
"india, allahabad","india","allahabad",1881,2012,132,1517,1587,70
"india, bangalore","india","bangalore",1881,2012,132,1555,1587,32
"india, bikaner","india","bikaner",1881,2012,132,1526,1587,61
"india, bombay","india","bombay",1881,2012,132,1569,1587,18
"india, calcutta","india","calcutta",1881,2012,132,1561,1587,26
"india, cherrapunji","india","cherrapunji",1903,2012,110,1100,1323,223
"india, daltonganj","india","daltonganj",1893,2012,120,1319,1438,119
"india, darbhanga","india","darbhanga",1876,1993,118,1267,1426,159
"india, dibrugarh","india","dibrugarh",1901,2012,112,1299,1341,42
"india, dwarka","india","dwarka",1901,2012,112,1243,1346,103
"india, gauhati","india","gauhati",1902,2012,111,1295,1329,34
"india, hyderabad","india","hyderabad",1893,2012,120,1427,1443,16
"india, indore","india","indore",1881,2012,132,1569,1587,18
"india, jaipur","india","jaipur",1881,1990,110,1075,1329,254
"india, jodhpur","india","jodhpur",1897,2012,116,1350,1395,45
"india, ludhiana","india","ludhiana",1875,1984,110,1184,1317,133
"india, madras","india","madras",1881,2012,132,1569,1587,18
"india, muktesvar","india","muktesvar",1897,2012,116,1307,1393,86
"india, nagpur","india","nagpur",1881,2011,131,1565,1581,16
"india, pamban","india","pamban",1891,2012,122,1431,1467,36
"india, sagar","india","sagar",1881,2012,132,1553,1587,34
"india, srinagar","india","srinagar",1893,2012,120,1401,1443,42
"india, veraval","india","veraval",1890,2012,123,1413,1476,63
"indiske_hav, seychellene","indiske_hav","seychellene",1894,2009,116,1296,1397,101
"irland, valentia","irland","valentia",1881,2009,129,1538,1559,21
"island, akureyri","island","akureyri",1882,2012,131,1567,1578,11
"island, reykjavik","island","reykjavik",1870,2012,143,1711,1722,11
"island, stykkisholmur","island","stykkisholmur",1830,2012,183,2191,2202,11
"island, teigarhorn","island","teigarhorn",1873,2009,137,1635,1649,14
"island, vestmannaoyene","island","vestmannaoyene",1878,2012,135,1615,1626,11
"israel, jerusalem","israel","jerusalem",1861,2004,144,1662,1739,77
"italia, bologna","italia","bologna",1814,2009,196,2338,2361,23
"italia, milano_gml","italia","milano_gml",1763,1990,228,2635,2745,110
"italia, milano","italia","milano",1763,2009,247,2950,2973,23
"italia, napoli","italia","napoli",1866,1990,125,1078,1509,431
"italia, roma_fiumicino","italia","roma_fiumicino",1811,1993,183,2037,2204,167
"italia, torino","italia","torino",1753,1990,238,1892,2865,973
"japan, choshi","japan","choshi",1902,2012,111,1318,1330,12
"japan, fukuoka","japan","fukuoka",1890,2012,123,1474,1485,11
"japan, hiroshima_gml","japan","hiroshima_gml",1881,2005,125,1489,1511,22
"japan, isuhara","japan","isuhara",1886,2012,127,1513,1524,11
"japan, kanazawa","japan","kanazawa",1886,2012,127,1517,1528,11
"japan, kyoto","japan","kyoto",1881,2005,125,1253,1511,258
"japan, maebashi","japan","maebashi",1897,2012,116,1368,1401,33
"japan, matsumoto","japan","matsumoto",1898,2007,110,1318,1329,11
"japan, matsuyama","japan","matsuyama",1890,2012,123,1423,1482,59
"japan, nagasaki","japan","nagasaki",1881,2012,132,1582,1593,11
"japan, nagoya","japan","nagoya",1891,2012,122,1462,1473,11
"japan, oita","japan","oita",1887,2012,126,1507,1518,11
"japan, osaka","japan","osaka",1883,2012,130,1558,1569,11
"kasakstan, kazalinsk","kasakstan","kazalinsk",1881,1990,110,1307,1323,16
"kasakstan, kustanai","kasakstan","kustanai",1902,2009,108,1248,1293,45
"kasakstan, semipalatinsk","kasakstan","semipalatinsk",1891,2009,119,1335,1424,89
"korea_s, pusan","korea_s","pusan",1904,2012,109,1299,1314,15
"kroatia, gospic","kroatia","gospic",1872,2008,137,1514,1646,132
"kroatia, hvar","kroatia","hvar",1858,2008,151,1651,1821,170
"kroatia, osijek","kroatia","osijek",1899,2008,110,1305,1329,24
"kroatia, zagreb","kroatia","zagreb",1861,2008,148,1765,1776,11
"libanon, beirut","libanon","beirut",1875,1985,111,1148,1343,195
"litauen, kaunas","litauen","kaunas",1901,2010,110,1090,1329,239
"litauen, villnius","litauen","villnius",1881,2010,130,1558,1569,11
"luxemburg, luxemburg_old","luxemburg","luxemburg_old",1838,1988,151,1796,1823,27
"malaysia, singapore","malaysia","singapore",1881,2009,129,1176,1559,383
"malta, luqa","malta","luqa",1853,2009,157,1799,1889,90
"mexico, pueblo","mexico","pueblo",1878,1990,113,1052,1358,306
"nederland, de_bilt","nederland","de_bilt",1901,2011,111,1321,1332,11
"nepal, darjeling","nepal","darjeling",1882,1999,118,1198,1417,219
"newzealand, auckland_NASA_gml","newzealand","auckland_NASA_gml",1864,1993,130,1542,1563,21
"newzealand, hokitika","newzealand","hokitika",1866,2012,147,1605,1773,168
"newzealand, wellington_NASA_gml","newzealand","wellington_NASA_gml",1864,1989,126,1503,1516,13
"nordsjoen, utsira_fyr","nordsjoen","utsira_fyr",1868,2012,145,1732,1743,11
"norge, andoya","norge","andoya",1868,2012,145,1739,1751,12
"norge, bergen_florida","norge","bergen_florida",1858,2012,155,1860,1871,11
"norge, bergen_fredriksberg","norge","bergen_fredriksberg",1881,2012,132,1537,1588,51
"norge, bjornoya","norge","bjornoya",1920,2012,93,1116,1127,11
"norge, bodo6","norge","bodo6",1868,2012,145,1740,1751,11
"norge, dombaas2","norge","dombaas2",1865,1972,108,1290,1307,17
"norge, dombaas_dombaas2","norge","dombaas_dombaas2",1864,1972,109,1289,1306,17
"norge, dombaas_nordigard","norge","dombaas_nordigard",1865,2012,148,1773,1787,14
"norge, faerder","norge","faerder",1886,2012,127,1524,1535,11
"norge, Karasjok","norge","Karasjok",1876,2012,137,1644,1655,11
"norge, kautokeino","norge","kautokeino",1889,2012,124,1251,1497,246
"norge, lista_fyr","norge","lista_fyr",1867,2012,146,1244,1757,513
"norge, mandal","norge","mandal",1861,2007,147,1760,1771,11
"norge, nesbyen_todokk","norge","nesbyen_todokk",1898,2012,115,1379,1391,12
"norge, nesbyen","norge","nesbyen",1898,2008,111,1329,1340,11
"norge, nordoyan_fyr","norge","nordoyan_fyr",1891,2012,122,1372,1475,103
"norge, oksoy_fyr_old","norge","oksoy_fyr_old",1870,2008,139,1667,1678,11
"norge, oksoy_fyr","norge","oksoy_fyr",1870,2012,143,1716,1727,11
"norge, ona2","norge","ona2",1868,2012,145,1717,1751,34
"norge, Roros_lufthavn","norge","Roros_lufthavn",1871,2012,142,1704,1715,11
"norge, skidogn","norge","skidogn",Inf,-Inf,-Inf,0,NA,NA
"norge, torungen_fyr",NA,NA,NA,NA,NA,NA,NA,NA
"norge, torungen",NA,NA,NA,NA,NA,NA,NA,NA
"norge, tromso_langnes","norge","tromso_langnes",1868,2012,145,1740,1751,11
"norge, utsira_fyr","norge","utsira_fyr",1868,2012,145,1740,1751,11
"norge, vardo_radio","norge","vardo_radio",1858,2012,155,1860,1871,11
"norge, vardo","norge","vardo",1858,2008,151,1809,1820,11
"osterrike, graz","osterrike","graz",1894,2009,116,1389,1400,11
"osterrike, innsbruck","osterrike","innsbruck",1877,2009,133,1497,1604,107
"osterrike, klagenfurt","osterrike","klagenfurt",1881,2009,129,1515,1556,41
"osterrike, kremsmunster","osterrike","kremsmunster",1876,2009,134,1604,1616,12
"osterrike, sonnblick","osterrike","sonnblick",1887,2009,123,1470,1484,14
"osterrike, wien","osterrike","wien",1855,2009,155,1829,1867,38
"pakistan, hydrabad","pakistan","hydrabad",1878,1989,112,1098,1355,257
"pakistan, lahore","pakistan","lahore",1876,2012,137,1631,1647,16
"pakistan, quetta","pakistan","quetta",1878,2012,135,1587,1623,36
"polen, gdansk","polen","gdansk",1807,1987,181,966,2181,1215
"polen, krakow","polen","krakow",1825,1988,164,1360,1979,619
"portugal, lisboa_ecad","portugal","lisboa_ecad",1901,2011,111,1321,1332,11
"portugal, lisboa_nasa","portugal","lisboa_nasa",1881,2011,131,1551,1572,21
"portugal, lisboa","portugal","lisboa",1881,2009,129,1539,1559,20
"romania, buzau","romania","buzau",1896,2009,114,1142,1374,232
"romania, calarasi","romania","calarasi",1898,2009,112,1309,1350,41
"romania, drobeta_turnu_severin","romania","drobeta_turnu_severin",1896,2006,111,1217,1335,118
"romania, sulina","romania","sulina",1881,2009,129,1530,1554,24
"romania, targu_jiu","romania","targu_jiu",1899,1999,101,1104,1214,110
"romania, turnu_magurele","romania","turnu_magurele",1896,1999,104,1037,1250,213
"russland, ajan","russland","ajan",1891,2012,122,1040,1474,434
"russland, anadyr","russland","anadyr",1899,2012,114,1268,1378,110
"russland, archangelsk","russland","archangelsk",1881,2012,132,1580,1594,14
"russland, cita","russland","cita",1890,2012,123,1408,1481,73
"russland, elatma","russland","elatma",1885,2012,128,1314,1538,224
"russland, irkutsk","russland","irkutsk",1882,2012,131,1552,1582,30
"russland, jakutsk","russland","jakutsk",1882,2012,131,1531,1573,42
"russland, kirensk","russland","kirensk",1892,2012,121,1406,1462,56
"russland, kotzebue","russland","kotzebue",1897,2007,111,976,1324,348
"russland, krasnojarsk","russland","krasnojarsk",1902,2012,111,1294,1331,37
"russland, krasnovodsk","russland","krasnovodsk",1883,2012,130,1517,1570,53
"russland, kursk","russland","kursk",1891,2012,122,1463,1474,11
"russland, moskva","russland","moskva",1779,2012,234,2120,2808,688
"russland, nercinski_za","russland","nercinski_za",1881,2012,132,1363,1594,231
"russland, nikolaevsk","russland","nikolaevsk",1881,2012,132,1553,1594,41
"russland, nikolskoie","russland","nikolskoie",1899,2012,114,1275,1378,103
"russland, ohotsk","russland","ohotsk",1890,2012,123,1277,1477,200
"russland, ohrenburg","russland","ohrenburg",1886,2012,127,1516,1527,11
"russland, omsk","russland","omsk",1890,2012,123,1450,1475,25
"russland, semipalatinsk","russland","semipalatinsk",1891,2012,122,1373,1463,90
"russland, sort","russland","sort",1881,1990,110,1294,1323,29
"russland, sotsji","russland","sotsji",1881,2012,132,1576,1587,11
"russland, st_petersburg2","russland","st_petersburg2",1881,2009,129,1544,1555,11
"russland, tobolsk","russland","tobolsk",1884,2012,129,1532,1552,20
"russland, turuhansk","russland","turuhansk",1881,2012,132,1530,1594,64
"russland, uralsk","russland","uralsk",1900,2012,113,1355,1366,11
"russland, verkhojansk","russland","verkhojansk",1885,2012,128,1482,1546,64
"russland, viljujsk","russland","viljujsk",1898,2012,115,1354,1389,35
"russland, vytegra","russland","vytegra",1881,2012,132,1471,1594,123
"serbia, beograd","serbia","beograd",1888,2008,121,1296,1463,167
"slovenia, ljubljana","slovenia","ljubljana",1900,2009,110,1302,1328,26
"spania, gibraltar","spania","gibraltar",1852,2010,159,1850,1915,65
"spania, palma_malorca","spania","palma_malorca",1881,2011,131,1510,1572,62
"stillehavet, chatham_islands","stillehavet","chatham_islands",1881,2011,131,1229,1577,348
"stillehavet, honolulu","stillehavet","honolulu",1898,2011,114,1345,1363,18
"stillehavet, isle_de_juan_fernandez","stillehavet","isle_de_juan_fernandez",1901,2011,111,1284,1338,54
"stillehavet, lihue_kauai","stillehavet","lihue_kauai",1905,2011,107,1266,1290,24
"stillehavet, st_paul","stillehavet","st_paul",1881,2011,131,1182,1573,391
"storbritannia, aberdeen","storbritannia","aberdeen",1881,2012,132,1582,1593,11
"storbritannia, belfast","storbritannia","belfast",1881,2012,132,1576,1588,12
"storbritannia, cambridge","storbritannia","cambridge",1871,2012,142,1702,1713,11
"storbritannia, durham","storbritannia","durham",1847,2012,166,1989,2001,12
"storbritannia, edinbourg","storbritannia","edinbourg",1785,1993,209,2507,2519,12
"storbritannia, london","storbritannia","london",1841,2004,164,1944,1975,31
"storbritannia, plymouth","storbritannia","plymouth",1865,1993,129,1543,1559,16
"sudan, el_obeid","sudan","el_obeid",1905,2011,107,1188,1287,99
"sudan, port_sudan","sudan","port_sudan",1906,2011,106,1179,1280,101
"sveits, geneve_ecad","sveits","geneve_ecad",1901,2009,109,1305,1316,11
"sveits, lugano_ecad","sveits","lugano_ecad",1901,2009,109,1305,1316,11
"sveits, saentis_ecad","sveits","saentis_ecad",1901,2009,109,1298,1316,18
"sveits, saentis","sveits","saentis",1883,2009,127,1518,1532,14
"sverige, boraas","sverige","boraas",1890,2012,123,1476,1487,11
"sverige, bromma","sverige","bromma",1756,2011,256,3068,3079,11
"sverige, falsterbo","sverige","falsterbo",1890,2012,123,1476,1487,11
"sverige, falun","sverige","falun",1890,2012,123,1474,1487,13
"sverige, goteborg","sverige","goteborg",1890,2012,123,1476,1487,11
"sverige, halmstad","sverige","halmstad",1890,2012,123,1475,1487,12
"sverige, haparanda","sverige","haparanda",1890,2012,123,1476,1487,11
"sverige, harnosand","sverige","harnosand",1890,2012,123,1476,1487,11
"sverige, hoburg","sverige","hoburg",1890,2012,123,1476,1487,11
"sverige, hogarna","sverige","hogarna",1890,2012,123,1476,1487,11
"sverige, holmogadd","sverige","holmogadd",1890,2007,118,1416,1427,11
"sverige, jokkmokk","sverige","jokkmokk",1890,2012,123,1473,1487,14
"sverige, kalmar","sverige","kalmar",1890,2012,123,1476,1487,11
"sverige, karesuando","sverige","karesuando",1890,2012,123,1476,1487,11
"sverige, karlstad","sverige","karlstad",1890,2012,123,1476,1487,11
"sverige, kvikkjokk","sverige","kvikkjokk",1890,2012,123,1476,1487,11
"sverige, landsort","sverige","landsort",1890,2012,123,1464,1487,23
"sverige, norraudde","sverige","norraudde",1890,2012,123,1476,1487,11
"sverige, ostersund","sverige","ostersund",1890,2012,123,1476,1487,11
"sverige, piteaa","sverige","piteaa",1890,2012,123,1467,1487,20
"sverige, sandoen","sverige","sandoen",1890,2012,123,1476,1487,11
"sverige, stensele","sverige","stensele",1890,2007,118,1416,1427,11
"sverige, stockholm_stasmod","sverige","stockholm_stasmod",1756,2005,250,3000,3011,11
"sverige, stockholm_stasserie","sverige","stockholm_stasserie",1756,2004,249,2988,2999,11
"sverige, stockholm","sverige","stockholm",1890,2012,123,1476,1487,11
"sverige, sveg","sverige","sveg",1890,2012,123,1474,1485,11
"sverige, ternaby","sverige","ternaby",1901,2012,112,1344,1355,11
"sverige, Tullinge_A","sverige","Tullinge_A",1756,2011,256,3068,3079,11
"sverige, veksjo","sverige","veksjo",1890,2012,123,1476,1487,11
"sverige, vinga","sverige","vinga",1890,1997,108,1296,1307,11
"sverige, visby","sverige","visby",1890,2012,123,1476,1487,11
"tsjekkia, praha3","tsjekkia","praha3",1881,2006,126,1393,1522,129
"tsjekkia, praha_klementine","tsjekkia","praha_klementine",1775,2005,231,2772,2783,11
"tsjekkia, praha_ruzyne","tsjekkia","praha_ruzyne",1881,2010,130,1434,1564,130
"tsjekkia, praha","tsjekkia","praha",1775,2005,231,2764,2775,11
"tunis, tunis","tunis","tunis",1887,2010,124,1368,1488,120
"tyskland, aachen","tyskland","aachen",1891,2011,121,1254,1457,203
"tyskland, bamberg","tyskland","bamberg",1879,2012,134,1608,1619,11
"tyskland, berlin","tyskland","berlin",1701,2012,312,3460,3755,295
"tyskland, bremen","tyskland","bremen",1890,2012,123,1466,1487,21
"tyskland, frankfurt","tyskland","frankfurt",1757,2012,256,2466,3081,615
"tyskland, hamburg","tyskland","hamburg",1891,2012,122,1464,1475,11
"tyskland, hannover","tyskland","hannover",1856,2012,157,1788,1895,107
"tyskland, hohenpeissenberg","tyskland","hohenpeissenberg",1781,2012,232,2782,2795,13
"tyskland, karlsruhe","tyskland","karlsruhe",1876,2008,133,1586,1606,20
"tyskland, munchen","tyskland","munchen",1781,2012,232,2783,2795,12
"tyskland, potsdam","tyskland","potsdam",1893,2012,120,1440,1451,11
"tyskland, rheinstetten","tyskland","rheinstetten",1876,2012,137,1644,1655,11
"tyskland, schwerin","tyskland","schwerin",1890,2012,123,1402,1487,85
"tyskland, stuttgart_1792","tyskland","stuttgart_1792",1792,2005,214,2242,2577,335
"ukraina, ai_petri","ukraina","ai_petri",1895,2010,116,1389,1400,11
"ukraina, kiev","ukraina","kiev",1881,2011,131,1567,1578,11
"ukraina, odessa","ukraina","odessa",1894,2011,118,1411,1422,11
"ukraina, poltava","ukraina","poltava",1900,2011,112,1339,1350,11
"ukraina, uman","ukraina","uman",1885,2011,127,1519,1530,11
"usa, abilene","usa","abilene",1886,2012,127,1523,1534,11
"usa, albuquerque","usa","albuquerque",1893,2012,120,1438,1450,12
"usa, amarillo","usa","amarillo",1892,2012,121,1418,1462,44
"usa, atlanta","usa","atlanta",1881,2012,132,1582,1594,12
"usa, barrow","usa","barrow",1901,2012,112,1171,1346,175
"usa, billings","usa","billings",1894,2012,119,1422,1435,13
"usa, bismarck","usa","bismarck",1881,2012,132,1582,1594,12
"usa, boise","usa","boise",1881,2012,132,1583,1594,11
"usa, boston","usa","boston",1881,2012,132,1583,1594,11
"usa, bozeman","usa","bozeman",1895,2012,118,1346,1411,65
"usa, chattanooga","usa","chattanooga",1881,2012,132,1583,1594,11
"usa, chicago","usa","chicago",1873,2012,140,1679,1690,11
"usa, cincinatti","usa","cincinatti",1881,2012,132,1581,1594,13
"usa, columbia","usa","columbia",1889,2012,124,1479,1490,11
"usa, columbus","usa","columbus",1881,2012,132,1583,1594,11
"usa, concord","usa","concord",1881,2012,132,1583,1594,11
"usa, denver","usa","denver",1873,2005,133,1590,1603,13
"usa, des_moines","usa","des_moines",1881,2012,132,1583,1594,11
"usa, detro2","usa","detro2",1881,2006,126,1508,1519,11
"usa, detroit","usa","detroit",1881,2012,132,1583,1594,11
"usa, dodge_city","usa","dodge_city",1881,2012,132,1582,1594,12
"usa, duluth","usa","duluth",1904,2012,109,1287,1318,31
"usa, eagles_pass","usa","eagles_pass",1899,2012,114,1287,1370,83
"usa, fargo","usa","fargo",1881,2012,132,1583,1594,11
"usa, flagstaff","usa","flagstaff",1891,2004,114,1319,1363,44
"usa, fort_wayne","usa","fort_wayne",1897,2012,116,1369,1401,32
"usa, galveston","usa","galveston",1881,2012,132,1574,1594,20
"usa, grand_junction","usa","grand_junction",1892,2012,121,1449,1460,11
"usa, grand_rapids","usa","grand_rapids",1887,2012,126,1473,1511,38
"usa, green_bay","usa","green_bay",1886,2012,127,1514,1526,12
"usa, honolulu","usa","honolulu",1898,2012,115,1361,1379,18
"usa, huron","usa","huron",1881,2012,132,1577,1588,11
"usa, indianapolis","usa","indianapolis",1881,2012,132,1583,1594,11
"usa, jacksonville","usa","jacksonville",1881,2012,132,1581,1594,13
"usa, knoxville","usa","knoxville",1881,2012,132,1582,1594,12
"usa, kotzebue","usa","kotzebue",1897,2012,116,1045,1393,348
"usa, lander","usa","lander",1892,2012,121,1451,1462,11
"usa, las_vegas_St_Fe","usa","las_vegas_St_Fe",1875,1993,119,1428,1439,11
"usa, lexington","usa","lexington",1887,2012,126,1500,1512,12
"usa, lincoln","usa","lincoln",1886,2004,119,1410,1434,24
"usa, los_angeles","usa","los_angeles",1881,2012,132,1509,1594,85
"usa, louisville","usa","louisville",1881,2012,132,1554,1594,40
"usa, macon","usa","macon",1881,2012,132,1489,1594,105
"usa, madison","usa","madison",1881,2012,132,1583,1594,11
"usa, marquette","usa","marquette",1881,2012,132,1552,1594,42
"usa, meridian_key","usa","meridian_key",1889,2012,124,1479,1490,11
"usa, miami","usa","miami",1895,2012,118,1400,1418,18
"usa, milwaukee","usa","milwaukee",1881,2012,132,1583,1594,11
"usa, minneapolis_old","usa","minneapolis_old",1819,2006,188,2238,2249,11
"usa, mobile","usa","mobile",1881,2012,132,1583,1594,11
"usa, nashville","usa","nashville",1881,2012,132,1582,1594,12
"usa, new_orleans_gml","usa","new_orleans_gml",1874,2005,132,1580,1591,11
"usa, new_york_gml","usa","new_york_gml",1822,2007,186,2225,2236,11
"usa, new_york_stamford","usa","new_york_stamford",1895,2012,118,1251,1422,171
