"City","Hc","Q_Hc","Hw","Hw_se","Q_Hw"
"Argentina, Buenos Aires",0.951499921351855,4.95996343144874,0.93768370295613,0.0552872130579099,-0.22233863783243
"Australia, Adelaide",0.882079066008559,2.51083589205131,0.781040695392554,0.0583585468046226,0.336065517031485
"Australia, Alice Springs",0.647101453088582,-0.039929601446358,0.708073757528658,0.0576908392714852,0.0620415597094635
"Australia, Cap Otway",0.905434512089599,0.222488480591969,0.868982874892959,0.0589920414336208,0.157188817131105
"Austria, Kremsmunster",0.727939859987247,-0.678732382368594,0.781909066425017,0.0579217824198097,0.27345027214556
"Austria, Vienna",0.810576700120035,-0.52714478589786,0.805951253554417,0.0554434241728039,-0.270303204407753
"Belgium, Uccle",0.739518550507759,-0.0863199125796797,0.738948412315123,0.0499825898931224,0.0106171580529248
"Canada, Winnipeg",0.713430200562434,0.346075167214381,0.72835273516032,0.0581156544286306,0.173930154689791
"Croatia, Zagreb",0.723354923794187,0.887874883299953,0.780484234749137,0.054876158005106,-0.144434115417942
"Czech Republic, Prague",0.7450505836776,0.442294545731299,0.716060985654407,0.0434331436033823,0.0117057531530881
"Denmark, Copenhagen",0.816792190723846,0.0922668859406647,0.752821918356335,0.0452975100914401,0.00688493426511709
"Denmark, Vestervig",0.698758400684112,0.0928928878911111,0.733073545671778,0.0564371301707485,0.00826688445537859
"Egypt, Alexandria",0.881732045865849,0.223837629574986,0.861781988562529,0.0637917354672459,0.0102492712070476
"France, Nantes",0.73773376981906,-0.493843300203562,0.720234174266365,0.0524405441449805,0.11998352442091
"France, Paris",0.87277947869725,0.573984452028419,0.80190242120736,0.0420343480590313,-0.0104807476562439
"Germany, Berlin",0.725603779937431,-0.0530376997387257,0.711537234323,0.0411361446933436,-0.0405262840467663
"Germany, Hohenpeissenberg",0.700806681242844,1.05294068663211,0.684412967296671,0.0430900908416164,-0.338337321972283
"Germany, Karlsruhe",0.728215670625054,0.20892618035865,0.819038052818124,0.0586522238384125,0.172163373201231
"Greece, Athens",0.75381054707672,0.863185550200883,0.788394126738369,0.0542038073846282,0.0940274041455815
"Greenland, Illulisat",0.805670939311989,0.838871587957858,0.804688108372779,0.0568228689372592,0.000105986280896297
"Greenland, Ivittuut",0.797445879715161,-0.201974568963623,0.803929751941726,0.0711505812170998,-0.273016183791262
"Hungary, Budapest",0.682182415975797,0.288412037649274,0.662524205753179,0.0431839017341743,-0.115326596831329
"Iceland, Djupivogur",0.851969126949342,0.0841447824561669,0.840874355766516,0.0581397809534413,0.331796703766685
"Iceland, Reykjavik",0.888909298292831,0.995842838960838,0.885360742019818,0.0565413730058495,0.146469270174117
"India, Agra",0.801647436016212,-0.28073366463255,0.84397755371014,0.0657716877885115,0.183693916514558
"India, Allahabad",0.706130976722687,-1.13527070803519,0.806717422544668,0.0592482014072744,-0.838624117938618
"India, Bombay",0.792618775177585,-0.0721476981687959,0.886574209521716,0.0588747002137138,0.087483411560978
"India, Indore",0.820169009338633,-0.302722517704568,0.899185667718861,0.0589491011271421,-0.533866957392269
"India, Madras",0.775389493891157,-0.510823282181888,0.905766021146297,0.0589869030100715,-0.327844915260937
"India, Nagpur",0.610086102585271,-0.423643267172271,0.727458731429466,0.0578831232181228,-0.158253419733037
"Israel, Jerusalem",0.70179847177863,0.0216884099733586,0.654085815536791,0.056870139279162,-0.0601067865369696
"Italy, Bologna",0.818598377065459,0.60165356938799,0.844989538153308,0.0482867307809496,-0.722770986732962
"Italy, Milan",0.85112600835713,-1.01362079294552,0.825766794381519,0.0428471189973785,-0.280864765613162
"Japan, Hiroshima",0.79788106438186,-0.165079186543757,0.737989062928212,0.0591310994037668,-0.267299146639292
"Japan, Nagasaki",0.823043556770672,0.0262830276799376,0.760869834971596,0.0579660959824231,0.0136933272127172
"Japan, Tokyo",0.925995774637022,-0.235313322681703,0.851185165777463,0.0575630816768265,-0.0864748858828651
"Kazakhstan, Kazalinsk",0.610576277126668,-0.249866972363158,0.563228981944899,0.0609347773314933,-0.216347837217556
"Luxembourg, Luxembourg",0.815202366041368,-1.06826571897203,0.825252337799613,0.0514808609896504,1.06207677261141
"New Zealand, Wellington",0.810438084155633,-0.618287820146743,0.919159197246717,0.0604626296021548,-0.295637473501789
"Norway, Andoya",0.772909797990168,0.0490932141577162,0.761073906080124,0.0552893620731682,-0.0131690893778754
"Norway, Bergen",0.782869491227048,-0.376502911851297,0.717126640112466,0.0529174695510654,0.205656129545925
"Norway, Bodo",0.700038250719684,-0.289262789109307,0.68161709221416,0.0543582166175039,-0.129660311707599
"Norway, Dombas",0.678704219849943,3.47572455319921,0.636740501302848,0.0534818984611665,3.27537589306769
"Norway, Karasjok",0.654655792623045,-0.386305546276237,0.651652319902623,0.0555819360245552,0.626584875673356
"Norway, Mandal",0.619811176474361,-0.499112846946643,0.625254658338651,0.0535224755411107,0.367915237325996
"Norway, Oksoy Lighthouse",0.666299491428153,-0.126394739319014,0.671692946093353,0.0546301048052097,0.155592940010149
"Norway, Ona",0.673955985493182,-0.13949042339631,0.702131737322619,0.0557325819161844,0.0304104875050325
"Norway, Oslo",0.691981326699216,0.464350515264776,0.699457756798321,0.0467921057904133,-0.129593574220239
"Norway, Roros",0.72710187817657,-0.332537665175283,0.688295549699018,0.0549997312675794,-0.228597363769799
"Norway, Tromso",0.616316049956696,-0.31780630721103,0.641052753619716,0.0539016904508873,0.00475872596629418
"Norway, Utsira",0.738232468092069,-0.0941247700657182,0.752884793691398,0.0550302382913781,-0.0402446661188316
"Norway, Vardo",0.723817591169434,-0.0531041966962919,0.770323060414638,0.0542459845286617,-0.0167603007180409
"Pakistan, Lahore",0.658961510736839,0.0470658049809647,0.743206142252659,0.0567364809024116,0.0198600265908258
"Portugal, Lisbon",0.932562938951408,0.210680074901163,0.931249597955789,0.059583621996186,-0.221271427941984
"Romania, Sulina",0.590532369069728,0.120802413670737,0.631384201712345,0.0572438508987684,-0.120528757544603
"Russia, Archangelsk",0.707063532278421,1.18727093270169,0.74634163023167,0.0578375898089641,-0.36939918635194
"Russia, Sort",0.594102392998212,0.722260996427995,0.581261515982451,0.0618205515250495,0.430731715660683
"Russia, St Petersburg",0.669919801426528,-0.161412758480274,0.705770291232578,0.0581159699007632,7.04468005203156
"Spain, Gibraltar",0.787371983953337,-0.0752423531426323,0.855477578813255,0.055583598155957,0.283303366673881
"Sweden, Bromma",0.68805682132916,0.201587839960175,0.690141403153017,0.0410568929725486,-0.0431300302678108
"Sweden, Stockholm",0.613626925311122,5.12084491309484,0.632090128831666,0.0410492024557674,-0.940255936148574
"Sweden, Tullinge",0.623818059638159,1.52253751010073,0.622499868871904,0.0406320596681501,-0.312351403909735
"Sweden, Uppsala",0.714633698796289,1.13475875085483,0.70953695885909,0.0398938935177603,-0.291105144473714
"Switzerland, Basel",0.664150139831072,0.55750926218994,0.71990825822259,0.0417707194389093,-0.752997533458576
"Switzerland, Geneva",0.844529549708102,-0.536670883535962,0.818033045297105,0.0417909006177139,0.563166141274615
"UK, Aberdeen",0.771330556373651,0.267649305042626,0.767427924438638,0.0580222712585712,-0.244736145895823
"UK, Belfast",0.706942303573852,-0.576051085337085,0.726783932805507,0.0576552843555382,0.251682619933887
"UK, Cambridge",0.772725003508616,-1.59597321395469,0.781169753741639,0.0560369427137179,4.13058322060974
"UK, Durham",0.771380474836703,-0.656329223388507,0.761158194560616,0.0518091374639631,3.55436028934169
"UK, Edinbourg",0.605428022918842,-1.43033817607138,0.626258680800355,0.0448521874077344,2.28199669997278
"UK, London",0.797910793527478,-0.542823690332367,0.80917899768595,0.0531356779384387,1.39356357592288
"UK, Plymouth",0.558619899412032,0.268194505873173,0.670994306162717,0.0577343377354507,1.63281770489875
"USA, Atlanta",0.766279537427135,2.04291213670559,0.72483804673173,0.0576365490214209,1.77376367772989
"USA, Bismarck",0.749008798518128,1.13459507856997,0.761353296960747,0.0579702752733366,0.630651550012909
"USA, Boise",0.725108963944368,-0.0174704541110212,0.697514402324821,0.0573608682041851,-0.280808948524048
"USA, Boston",0.728296952885102,0.388542553468726,0.723530014663873,0.0576238701525976,0.540861743693257
"USA, Chattanooga",0.744261488493778,0.714991070717134,0.695222858779452,0.0573366367208339,0.683633418425078
"USA, Cincinatti",0.758157442349671,-0.108196336224829,0.718041551849402,0.0575701555697841,0.684739266775274
"USA, Columbus",0.704921084076779,-1.44886058559068,0.702256797941616,0.0574104210251507,0.248032031144505
"USA, Concord",0.790310418406593,0.0121170175798009,0.729348085525524,0.0576798166305308,-0.255493607647535
"USA, Des Moines",0.620954360150671,0.0419245463247504,0.622932652426594,0.0564726408256303,-0.247205156974295
"USA, Detroit",0.707244259379051,1.84646363989736,0.662779487481135,0.0569739697825342,-1.94815860744795
"USA, Dodge City",0.648391631626265,0.123160917307479,0.714560611368354,0.0575356203006481,-0.191002252955758
"USA, Fargo",0.737661147456906,2.0831320978186,0.725070317706227,0.0576387928696603,0.948202396676495
"USA, Galveston",0.674415804209229,-0.565827571779787,0.666124614237781,0.0570131558849152,-0.104112407986022
"USA, Indianapolis",0.667021037959083,1.49457411478005,0.6582966902843,0.0569208114257557,-0.726241006177647
"USA, Jacksonville",0.664207355155751,0.211670475695645,0.617979282099257,0.0564055570110165,-0.422899711349943
"USA, Knoxville",0.743653963733261,-0.773392201646225,0.680031047040708,0.0571715221310677,0.267472783585385
"USA, Las Vegas",0.707461639275237,-0.310409457127063,0.694353922338566,0.0601484532886372,-0.100176962516503
"USA, Madison",0.672535913785039,-0.336420585967052,0.681583391415683,0.0571887646171693,-0.347208191084767
"USA, Marquette",0.694079932751069,-0.026376622619554,0.715857951028822,0.0579929247441666,-0.166985556277419
"USA, Milwaukee",0.683178754851327,-1.08753496876542,0.754909394793193,0.0579140486710127,-0.246756519867076
"USA, Mobile",0.678074326684446,3.40796727265938,0.672246409405637,0.0570837418228298,0.667084462163916
"USA, Nashville",0.609146316998522,-0.24045103153588,0.625418087043506,0.0565059015733364,0.360092035677783
"USA, New Orleans",0.861130102632644,4.03432006079428,0.812471283307032,0.0583796948499547,-0.57029970864044
"USA, New York",0.906862776578686,4.77233931715152,0.842984365346482,0.0493082828445881,2.00241095308265
