"","stationame_all","Hl","Sd_Hl","Lo_Hl","Hi_Hl","Hc","Hw","SE_Hw","Lo_Hw","Hi_Hw","overlap","Q_Hl","Q_Hw"
"1","Argentina, Buenos Aires",0.622293914355368,0.0197143507934754,0.588462345982029,0.653905345239315,0.785246984077086,0.712689132100481,0.0156009462014315,0.665886293496187,0.759491970704775,0,-5.29937103871136,-3.25904658976056
"2","Australia, Adelaide",0.621915531038626,0.0181431380176262,0.579604687943372,0.644897569765413,0.695872062515625,0.66240182474388,0.0164754868935089,0.612975364063353,0.711828285424407,1,-1.90623219104434,-1.01319884489723
"3","Australia, Alice Springs",0.643062877336874,0.0167586577451423,0.607072722532397,0.665646236855465,0.700171141326713,0.68344307718657,0.0165598771858893,0.633763445628902,0.733122708744238,1,-1.49014492237152,-0.336707264022125
"4","Australia, Cap Otway",0.69620877944727,0.0148688998227994,0.67130126283833,0.721061136545273,0.803143040473722,0.74370245965149,0.0159057502180526,0.695985208997332,0.791419710305648,1,-4.64388447046037,-2.59665225033069
"5","Austria, Kremsmunster",0.602027921685297,0.0177408016811932,0.564476915108464,0.626373842044288,0.654584625731279,0.65061426739268,0.0162596267221259,0.601835387226302,0.699393147559058,1,-1.60622927692039,-0.714504942924298
"6","Austria, Vienna",0.609998340613329,0.0203610229665142,0.574869479927669,0.647977204294798,0.6838504295651,0.659330715654288,0.0152402458647028,0.61360997806018,0.705051453248396,1,-2.17160271910281,-1.1415949625521
"7","Belgium, Uccle",0.595486226437549,0.018977259658011,0.562817845792087,0.620403122817401,0.660101813103667,0.64297950654003,0.0141467708324261,0.600539194042752,0.685419819037308,1,-1.69469362560594,-0.774940378880155
"8","Canada, Winnipeg",0.614981379456955,0.0187685280759255,0.575679174831701,0.646253318998745,0.65430649941007,0.659927724003925,0.016425250404347,0.610651972790884,0.709203475216966,1,-1.34910075092537,-0.357022328541324
"9","Croatia, Zagreb",0.609495496271705,0.0182304615864785,0.573873944030018,0.639806158394806,0.653894063188434,0.650485518048119,0.0154853847379675,0.604029363834217,0.696941672262022,1,-1.44933368166726,-0.585054440909223
"10","Czech Republic, Prague",0.624660029920156,0.0161383941388593,0.589684346721144,0.649114394565567,0.683704209267667,0.670193916314269,0.012424701890676,0.632919810642241,0.707468021986297,1,-2.27345522500482,-0.855266156845281
"11","Denmark, Copenhagen",0.693882603925036,0.0137473191671627,0.667432004842702,0.712404618278462,0.754500674092801,0.758248319960693,0.0130880003858217,0.718984318803228,0.797512321118158,0,-4.4641085338658,-0.693453439368359
"12","Denmark, Vestervig",0.698908653756375,0.0217067456154702,0.65662122206193,0.731683654460165,0.724562256722709,0.763485692738345,0.016350462543074,0.714434305109123,0.812537080367567,1,-2.39246570908948,0.984908687821006
"13","Egypt, Alexandria",0.740172377348622,0.0149648765016467,0.710130797318694,0.761481859267831,0.773418189173013,0.798061940794956,0.0178574291024872,0.744489653487494,0.851634228102418,1,-3.49814469237307,0.107809185635445
"14","France, Nantes",0.601523876553306,0.0155141659026354,0.56924004134298,0.626236209234304,0.643237401674493,0.643286565566775,0.0149295347141897,0.598497961424206,0.688075169709344,1,-1.31216717390014,-0.460492552896486
"15","France, Paris",0.602722515257844,0.0156394923396247,0.563972253032926,0.626122694644403,0.732614767608545,0.672214020309482,0.0118715578743845,0.636599346686328,0.707828693932635,0,-4.34777106970875,-2.79054714166175
"16","Germany, Berlin",0.621465276876736,0.014762723517215,0.595496592505355,0.644212476710554,0.664227024119885,0.66179359955245,0.0117444311130453,0.626560306213314,0.697026892891586,1,-1.90668681698589,-0.62598639791564
"17","Germany, Hohenpeissenberg",0.567036096402286,0.0139005606016347,0.539031900249711,0.587839265575134,0.617332370825693,0.604928244319167,0.0122058702478982,0.568310633575472,0.641545855062862,1,-1.00142660476886,-0.44811865361369
"18","Germany, Karlsruhe",0.568700242846439,0.0259663561258228,0.517975899545394,0.622030346727986,0.642102087061658,0.629303992256406,0.0162598241450286,0.58052451982132,0.678083464691492,1,-1.38278643351084,-0.714039156478461
"19","Greece, Athens",0.6574247176243,0.0171380450513813,0.625100121738275,0.683565431954642,0.682419595505603,0.6981852773343,0.0154186900605108,0.651929207152768,0.744441347515832,1,-1.62180507613106,-0.1963146966944
"20","Greenland, Illulisat",0.663737428265136,0.0217510864831193,0.62732422485999,0.702192442978338,0.738350645593357,0.725020914164941,0.0161255460536043,0.676644276004128,0.773397552325754,1,-2.94323376591771,-0.710410051647797
"21","Greenland, Ivittuut",0.695398260027563,0.0236774836424171,0.650455536040708,0.728010770382714,0.782125253150196,0.751314655333005,0.0203883866294606,0.690149495444623,0.812479815221387,1,-2.97019542163223,-0.930546014219834
"22","Hungary, Budapest",0.606458482983477,0.0140966205772059,0.584103678623539,0.631009193453879,0.626983256946213,0.64499224236493,0.0123845270708424,0.607838661152403,0.682145823577457,1,-1.2598909521425,-0.254926025540017
"23","Iceland, Djupivogur",0.66788294717006,0.0190316092918775,0.633137956158317,0.693426743962749,0.762044919481723,0.736435716963767,0.0163471993200288,0.687394119003681,0.785477314923853,1,-4.35649272689138,-1.89698066595333
"24","Iceland, Reykjavik",0.643810677748488,0.0182153570943172,0.608975892460963,0.670927490402777,0.731225595114586,0.710923235242027,0.0159119980359926,0.663187241134049,0.758659229350005,1,-3.35052184603813,-1.32558690635523
"25","India, Agra",0.697371066028891,0.0182020287074662,0.667780418051094,0.723210848978615,0.731263689395141,0.7525457149384,0.0186022628221935,0.696738926471819,0.80835250340498,1,-2.15466460008601,0.208456330544199
"26","India, Allahabad",0.644132199790363,0.0146454434042517,0.61262728217497,0.66825479529687,0.699313892697393,0.694334717675714,0.0168487571784051,0.643788446140499,0.744880989210929,1,-1.76659491023873,-0.298380520774696
"27","India, Bombay",0.715049939964486,0.0180968792092657,0.678092207490477,0.746772935318791,0.78283290582083,0.788156342406667,0.0168157589268482,0.737709065626122,0.838603619187212,1,-4.65973852823966,-0.610532231742811
"28","India, Indore",0.642380676779854,0.0166530972331754,0.614046177541238,0.672091456772301,0.734286557560878,0.708714924991213,0.0166100418500395,0.658884799441095,0.758545050541331,1,-2.95428104585702,-1.02732438160344
"29","India, Madras",0.687925193742257,0.0192070439594498,0.651072677433761,0.717645456067634,0.75118999525308,0.752688205806495,0.0167299426286818,0.70249837792045,0.80287803369254,1,-3.55493434787984,-0.723613819917073
"30","India, Nagpur",0.665419967842668,0.0207139829376192,0.624182868915969,0.699079256666335,0.696546390237698,0.708427006145629,0.016630414924909,0.658535761370902,0.758318250920356,1,-1.58830907068751,-0.0609903539089205
"31","Israel, Jerusalem",0.652469594088356,0.0197215887181928,0.619710418815012,0.688974277486963,0.684583052558633,0.69923816830908,0.0161211096638551,0.650874839317515,0.747601497300645,1,-1.58890950000963,-0.0400843145066534
"32","Italy, Bologna",0.642452601205598,0.0136692717455077,0.618954856324467,0.670100886243702,0.702028006582693,0.697531794138624,0.0135914008329648,0.65675759163973,0.738305996637518,1,-3.03667538197196,-1.1474224938821
"33","Italy, Milan",0.642109820588895,0.0121159397059911,0.624512055962685,0.661948245839244,0.724040307092756,0.709114214281375,0.0121287869839417,0.67272785332955,0.7455005752332,0,-4.87029112837128,-2.33482346093549
"34","Japan, Hiroshima",0.665334077571058,0.0206096596824418,0.631481480624243,0.702187556880891,0.731140413845844,0.732575394131514,0.0171192263467233,0.681217715091344,0.783933073171684,1,-2.82635040826799,-0.397438601446239
"35","Japan, Nagasaki",0.660956224516511,0.01904270571624,0.625267096982036,0.704274068111942,0.737699753814828,0.715014293034974,0.0165597531844883,0.665335033481509,0.764693552588439,1,-2.90438715404906,-1.10877167188117
"36","Japan, Tokyo",0.663697660892725,0.0169771849202631,0.637447090048048,0.691247982634867,0.794916425574331,0.744409038293937,0.0163329327548428,0.695410240029409,0.793407836558465,0,-5.61437880978314,-2.88893226534066
"37","Kazakhstan, Kazalinsk",0.619413142454573,0.0243255945026713,0.566874624382549,0.657415281985782,0.609384050910508,0.655481375512,0.0180141558112163,0.601438908078351,0.709523842945649,1,-0.591617762204539,0.188050617151182
"38","Luxembourg, Luxembourg",0.605596843238019,0.0175842435391053,0.57339946133671,0.636641434761493,0.675195359207281,0.658218036458452,0.0144414244789842,0.614893763021499,0.701542309895405,1,-2.03448684248206,-0.900507223523323
"39","New Zealand, Wellington",0.702705479454292,0.019546234241818,0.668912931056018,0.738516158661573,0.773810110173204,0.751842102686391,0.0170911173566482,0.700568750616446,0.803115454756336,1,-3.06613873653387,-0.813986404160531
"40","Norway, Andoya",0.669420038957486,0.0174891192194273,0.637151229564355,0.69987394124065,0.72323974873447,0.725266628960484,0.0158219504966298,0.677800777470595,0.772732480450373,1,-2.43697496196641,-0.231922178516807
"41","Norway, Bergen",0.634726816389355,0.0179606662278873,0.599736082130554,0.665350891679767,0.678100830967096,0.686860843936408,0.0151949821995641,0.641275897337716,0.7324457905351,1,-1.90006526067113,-0.350395914490395
"42","Norway, Bodo",0.650658931768437,0.0182806179307747,0.612433080177808,0.684736872735024,0.680314662110305,0.697836402726244,0.0157421475090102,0.650609960199213,0.745062845253275,1,-1.49990465433576,0.0936630038465104
"43","Norway, Dombas",0.617751689923861,0.0231707955535399,0.580564871410176,0.659970132447622,0.632675274857908,0.663607277229487,0.0154926250801589,0.61712940198901,0.710085152469964,1,-1.21466149042987,-0.0867760296801246
"44","Norway, Karasjok",0.633919690916595,0.0149495980070999,0.607611581230646,0.656185763322166,0.654708328148044,0.679392332021517,0.0161393929989221,0.630974153024751,0.727810511018283,1,-1.15236829877244,0.122401261770498
"45","Norway, Mandal",0.680166588498529,0.015782878201498,0.652244677385166,0.708615559871513,0.681503302967338,0.723609113553481,0.0157229292939662,0.676440325671582,0.77077790143538,1,-0.963365601117007,0.967773717968429
"46","Norway, Oksoy Lighthouse",0.713292399748949,0.0182360516455729,0.682621842949351,0.736038504302468,0.719393872857075,0.771483855055362,0.0160418803300481,0.723358214065218,0.819609496045506,1,-1.52816350734941,2.00690724953669
"47","Norway, Ona",0.680397853524848,0.0199322348241702,0.640734307855217,0.711760214938046,0.711203373169646,0.749050215017545,0.0159837511312284,0.70109896162386,0.79700146841123,1,-2.19916370388215,1.00194408585958
"48","Norway, Oslo",0.67079411528737,0.0160824853263164,0.645365885094193,0.696855615336408,0.693266078648344,0.72444628122158,0.0135683412035705,0.683741257610868,0.765151304832291,1,-2.01379457904251,0.563840090681898
"49","Norway, Roros",0.641278742754881,0.0175815803828893,0.612871465712387,0.66824620170712,0.666936036174564,0.695089837645113,0.0158995989060447,0.647391040926979,0.742788634363247,1,-1.64980611321312,0.0183588855737907
"50","Norway, Tromso",0.647823286288393,0.0172863810450747,0.615803240996697,0.67732655919718,0.66982462192431,0.690472130986025,0.0157208394973711,0.643309612493912,0.737634649478138,1,-1.16170676591635,0.231728223501845
"51","Norway, Utsira",0.7030363374784,0.0163861994895685,0.664688572749295,0.72378126405583,0.734972595678238,0.767865004536981,0.0159225343622921,0.720097401450105,0.815632607623857,1,-2.52195681444011,1.07459594381752
"52","Norway, Vardo",0.693943806958898,0.0147907469314888,0.664324346386353,0.714759630674195,0.764732145927736,0.751222460647844,0.0155772038591996,0.704490849070245,0.797954072225443,1,-3.3760677331619,-0.604952605446192
"53","Pakistan, Lahore",0.649077379760539,0.0177097925346138,0.608467584159086,0.679138368504439,0.64936491814888,0.692909811327992,0.0162449981591766,0.644174816850462,0.741644805805522,1,-1.01078108106672,0.410209560583779
"54","Portugal, Lisbon",0.627462533599186,0.0185690280818895,0.596740891016722,0.663965162247806,0.768610279177774,0.710459603660252,0.016776270327675,0.660130792677227,0.760788414643277,1,-4.46870022647381,-2.55945151716517
"55","Romania, Sulina",0.658242316910426,0.0211627864241169,0.609547626270048,0.693963322517339,0.652932859239576,0.699465601229765,0.016792726634616,0.649087421325917,0.749843781133613,1,-0.876263824074148,0.520426511369969
"56","Russia, Archangelsk",0.60993850927609,0.017945004291304,0.575423075118622,0.634494694296585,0.675224161380998,0.661120902844869,0.0164032664965038,0.611911103355358,0.71033070233438,1,-1.61752372257123,-0.565793181979325
"57","Russia, Sort",0.658376193893939,0.0202671735036413,0.620052939371619,0.691453225845033,0.639543778168351,0.693512483150695,0.0182401285125879,0.638792097612931,0.748232868688459,1,-0.459580237671142,0.634286223708686
"58","Russia, St Petersburg",0.642760916777201,0.0186787053476227,0.607298832085545,0.67113504632576,0.696638597966694,0.695631980467702,0.0167101802027929,0.645501439859323,0.745762521076081,1,-1.81705793921441,-0.269093669408211
"59","Spain, Gibraltar",0.706862543340726,0.0198571195602504,0.673771999899726,0.744880812136995,0.773366330912543,0.765138510618205,0.0154357649681216,0.71883121571384,0.81144580552257,1,-4.28893637753839,-1.22641952482648
"60","Sweden, Bromma",0.686863959023368,0.0116371312038184,0.666060430161524,0.706338151937342,0.693673651051379,0.735859299724193,0.0119345251915965,0.700055724149403,0.771662875298982,1,-2.11023586770864,0.923642860686798
"61","Sweden, Stockholm",0.672887629796272,0.0135590788480602,0.650213476855403,0.696940386370561,0.68136040000952,0.721325612117776,0.012062385444198,0.685138455785182,0.75751276845037,1,-1.55752295371425,1.09774626434877
"62","Sweden, Tullinge",0.678994399576134,0.0142592184532746,0.654820578561894,0.702277548384952,0.671683832141052,0.727237487981159,0.011952894136957,0.691378805570288,0.76309617039203,1,-1.35018499377526,1.48922182682803
"63","Sweden, Uppsala",0.6648638316317,0.0123698547459947,0.644621271351682,0.684761291791619,0.690384852463582,0.717899655458329,0.011412706781312,0.683661535114393,0.752137775802265,1,-2.54473925188232,0.279380325297911
"64","Switzerland, Basel",0.585376570539715,0.0158239463794147,0.556130491891726,0.612903256680607,0.624704565972533,0.622268729732651,0.011775784032295,0.586941377635766,0.657596081829536,1,-1.22925391818915,-0.483505152888843
"65","Switzerland, Geneva",0.605756755912198,0.0110807744955091,0.581973146313346,0.623095917926353,0.693343982957303,0.667497833441912,0.0117694767624422,0.632189403154585,0.702806263729239,0,-3.23883728294124,-1.62188981394044
"66","UK, Aberdeen",0.653737452986892,0.018784941965479,0.617128087228441,0.686041757754567,0.690534583971741,0.703540904163698,0.0165265195366985,0.653961345553602,0.753120462773794,1,-1.92442949735203,-0.304334932662983
"67","UK, Belfast",0.620523607158955,0.0193801507699815,0.587838328245547,0.650429572372944,0.649617418683822,0.66508422805187,0.0164373364467163,0.615772218711721,0.714396237392019,1,-1.30681572658573,-0.267919259729853
"68","UK, Cambridge",0.615822471661121,0.0218588095950376,0.573844353465407,0.645369090035243,0.6781947759429,0.67264524586828,0.015841133322534,0.625121845900678,0.720168645835882,1,-2.03112528271853,-0.726512748071072
"69","UK, Durham",0.625364532508233,0.0189280853956541,0.590828369838978,0.654508857465994,0.697985354057446,0.68555574258618,0.0146903577970939,0.641484669194898,0.729626815977462,1,-2.584180848264,-0.928830411067918
"70","UK, Edinbourg",0.632982617854905,0.0146929234375439,0.594454349844878,0.654746023796446,0.643791101819607,0.669554680393062,0.0130443522028952,0.630421623784376,0.708687737001748,1,-0.942746817063662,0.290972154195405
"71","UK, London",0.61446412712389,0.0170848072246847,0.585651563057126,0.651727743696509,0.721392812721599,0.68553364515412,0.0148593469251047,0.640955604378806,0.730111685929434,1,-3.47918201257047,-1.87679688073029
"72","UK, Plymouth",0.644392875751422,0.0189082510155527,0.613551168280864,0.676359344338405,0.624274348098705,0.676278826924797,0.0166491794215666,0.626331288660097,0.726226365189497,1,-0.634572415631649,0.299765103413711
"73","USA, Atlanta",0.607342685700544,0.0204938513229148,0.567278521395366,0.637080541042863,0.632098739252151,0.64076028064532,0.0163221886348539,0.591793714740758,0.689726846549882,1,-0.908884141857964,-0.244779748754732
"74","USA, Bismarck",0.597617450135923,0.0147791373436956,0.57037165044809,0.624216244616314,0.65486176327968,0.640340711255388,0.0163206835283702,0.591378660670277,0.689302761840499,1,-1.23433818228676,-0.481419381005873
"75","USA, Boise",0.616341057159655,0.0212872812011305,0.571922055933713,0.646367987554854,0.654363772684193,0.656313593839966,0.0163714330816877,0.607199294594903,0.705427893085029,1,-1.29953682188962,-0.420677658405024
"76","USA, Boston",0.617194657175857,0.0169248123700878,0.584113866783606,0.64265940894701,0.693439100267466,0.670302902501467,0.0164181437974115,0.621048471109232,0.719557333893701,1,-1.91955275890809,-0.735683159369592
"77","USA, Chattanooga",0.617327836303782,0.0240520726531001,0.569797302288609,0.651323828573503,0.637059797553695,0.647389469922564,0.0163405434769692,0.598367839491656,0.696411100353472,1,-0.854563905942277,-0.187567034138774
"78","USA, Cincinatti",0.614208110087438,0.0179228168584072,0.57541864895581,0.646759579338216,0.65553505791097,0.644810173419057,0.0163417842442675,0.595784820686254,0.69383552615186,1,-1.09022852175586,-0.447273270382426
"79","USA, Columbus",0.600505179239172,0.0215841708869988,0.56178425617885,0.638937800092128,0.629180340158862,0.630620987674623,0.0162801077058125,0.581780664557186,0.679461310792061,1,-0.865902303337705,-0.319843569936277
"80","USA, Concord",0.607810619810647,0.0155557669931996,0.579921655951373,0.634332383697027,0.68709546521094,0.662186045947944,0.0163912869875024,0.613012184985437,0.711359906910451,1,-1.97323050351344,-0.900186168364489
"81","USA, Des Moines",0.603569021596418,0.0204560213086026,0.56857695940463,0.636376354656993,0.625598057843013,0.631980431562082,0.0162851273861115,0.583125049403747,0.680835813720416,1,-0.734104767078185,-0.198655178228733
"82","USA, Detroit",0.613570824946618,0.0189640188025949,0.577668732927229,0.641452239718526,0.658634583231437,0.653345670807803,0.0163612535492189,0.604261910160146,0.70242943145546,1,-1.1960370597211,-0.344919660630352
"83","USA, Dodge City",0.581524965427437,0.0209165174579917,0.545923335442902,0.615244324539912,0.626331044670206,0.61124449646619,0.0162112854368389,0.562610640155673,0.659878352776707,1,-0.776040180703283,-0.365207755372651
"84","USA, Fargo",0.608229543020135,0.0191575406897587,0.571300093153638,0.632561349335404,0.655939615380891,0.655068355924735,0.0163671714949205,0.605966841439973,0.704169870409497,1,-1.41987077188753,-0.469212168428741
"85","USA, Galveston",0.645924975532962,0.0188305579425694,0.610052980504172,0.68478878596334,0.662101684493328,0.68808770281426,0.0165216900403483,0.638522632693215,0.737652772935305,1,-1.33446210799432,-0.0741035644793183
"86","USA, Indianapolis",0.594258967699797,0.0188501188088208,0.563897559316508,0.628755758307814,0.610912054017588,0.622013087778956,0.016247820870049,0.573269625168809,0.670756550389103,1,-0.666366491191263,-0.194778808314055
"87","USA, Jacksonville",0.620541708746191,0.0223348742559056,0.572678512376644,0.658723984345389,0.607829769764749,0.650855581771529,0.0163629824332823,0.601766634471682,0.699944529071376,1,-0.723443396625005,-0.0208888933383754
"88","USA, Knoxville",0.592373708192066,0.0191089076463549,0.556763935991224,0.624222237127832,0.624486044227698,0.629576938446083,0.0162813813139502,0.580732794504232,0.678421082387934,1,-0.92597452911162,-0.306971322743452
"89","USA, Las Vegas",0.615659826013612,0.0168827604508381,0.583607843403829,0.64149475201408,0.642899405294777,0.646819069392151,0.0172024218165404,0.59521180394253,0.698426334841772,1,-0.932541944203086,-0.293296951606367
"90","USA, Madison",0.609447230242478,0.0188787919137186,0.575665901575095,0.642437191755658,0.641397661479209,0.64747761293389,0.016340856417519,0.598455043681333,0.696500182186447,1,-1.00884183874625,-0.224336475217373
"91","USA, Marquette",0.630274554846252,0.0180346090255895,0.600150904822841,0.673556912929969,0.688414668441588,0.686039108708822,0.016631966007705,0.636143210685707,0.735935006731937,1,-2.11802043055883,-0.693845952805902
"92","USA, Milwaukee",0.6248980705611,0.0169982943573292,0.586310366019388,0.647403695983466,0.68940688253021,0.675831293484816,0.0164360442628656,0.626523160696219,0.725139426273413,1,-1.86035990284706,-0.626558437292655
"93","USA, Mobile",0.62402677063746,0.0178996260485712,0.588103938355348,0.655049011206509,0.617035821582919,0.650931544411691,0.0163529097512514,0.601872815157937,0.699990273665445,1,-0.637853991435156,0.00469250881669144
"94","USA, Nashville",0.588852863988242,0.0190673413323968,0.558682425208804,0.61838034039071,0.581444977120305,0.603021559903411,0.0161784922083285,0.554486083278426,0.651557036528396,1,-0.382044856649153,-0.166067982501623
"95","USA, New Orleans",0.643755200562281,0.0203712505675991,0.606357727854905,0.677229121443416,0.696140753681698,0.695454716335107,0.0165128280792834,0.645916232097257,0.744993200572957,1,-2.13221106353286,-0.634128251619738
"96","USA, New York",0.629440377534265,0.0185137300782145,0.598782855776415,0.661650719199355,0.745108549818609,0.698517049046005,0.0139228244886783,0.65674857557997,0.74028552251204,1,-4.21142511610333,-2.24402232275963
